Id,condition,Group
JR_MarsGCtrl_2d,control,Mars_Ctrl_2d
JR_MarsGCtrl_6d_1,control,Mars_Ctrl_6d
JR_MarsGCtrl_6d_2,control,Mars_Ctrl_6d
JR_MarsG_1,treatment,MarsG_2d
JR_MarsG_2,treatment,MarsG_2d
JR_MarsG_3,treatment,MarsG_2d
JR_MarsG_6d_1,treatment,MarsG_6d
JR_MarsG_6d_2,treatment,MarsG_6d
JR_MarsG_6d_3,treatment,MarsG_6d
JR_microGCtrl_2d,control,Micro_Ctrl_2d
JR_microGCtrl_6d_1,control,Micro_Ctrl_6d
JR_microGCtrl_6d_2,control,Micro_Ctrl_6d
JR_microG_2d_1,treatment,MicroG_2d
JR_microG_2d_2,treatment,MicroG_2d
JR_microG_2d_3,treatment,MicroG_2d
JR_microG_6d_1,treatment,MicroG_6d
JR_microG_6d_2,treatment,MicroG_6d
JR_microG_6d_3,treatment,MicroG_6d
JR_moonGCtrl_2d,control,MoonG_Ctrl_2d
JR_moonGCtrl_6d_1,control,MoonG_Ctrl_6d
JR_moonGCtrl_6d_2,control,MoonG_Ctrl_6d
JR_moonG_1,treatment,MoonG_2d
JR_moonG_2,treatment,MoonG_2d
JR_moonG_3,treatment,MoonG_2d
JR_moonG_6d_1,treatment,MoonG_6d
JR_moonG_6d_2,treatment,MoonG_6d
JR_moonG_6d_3,treatment,MoonG_6d




